S. No.,Product,HSN Code (4 digit),Shiprocket SKU code,State & City,Shop Name,Product weight,Main person's name & Contact No.,GST Registration No.,FSSAI Licence No.,Packaging availability (Outer),MRP Printed on Vendor's package (Y/N & current MRP),Applicable GST rate (%) - Buying,Applicable GST rate (%) - Selling,Available SKUs by weight,"Total weight/unit 
(with packaging)",Package dimensions (LxBxH),"Volumetric 
(with Delhivery)",Custom MRP possible?,Agreed Price (per kg) - Without GST,Channel of communication for orders,Phone No. (with Whatsapp),SPOC,Mail ID (if available),Full Address,PIN Code,Pickup hours/Shop timings,Payment Terms,"Remarks, if any"
37,Masala Pudina Gathiya,,,,,,,,,0.4 kg,Y,12%,,0.4 kg,500 gms,17*21*7 (cm),,Y,151.8,,,,,,,,,
38,Ice Halwa,,,"Maharashtra
(Mumbai)",Ghasitaram Gifts,,"Rima
9892000011",27AAEFT4853C1Z8,11515009000091,0.4 kg,Y(Rs. 399 / 400g),5%,,0.4 kg,510 grms,22*18*4 (cm),,No,712.5,Mail,,,orders@ghasitaramgifts.com,,,"7 days open
Pickup hrs: 2PM to 5PM","Initially after pickup, then every 15 days",25% discount on MRP
39,Mawa ring Modak,,,,,,,,,0.4 kg,Y(Rs. 551 / 400g),5%,,0.4 kg,510 grms,22*18*4 (cm),,No,983.9,,,,,,,,,
40,Pure Kaju Assorted Modak,,,,,,,,,0.4 kg,Y(Rs. 799 / 400g),5%,,0.4 kg,510 grms,22*18*4 (cm),,No,1426.8,,,,,,,,,
,Chatpata Gathiya,,,"Gujarat
(Ahemdabad)",Ganesh gruh Udyog,,"Sanket
9099117171",24AAPFG8421Q1ZR,10719026390355,,Y(Rs. 65 / 250g),12%,,0.25 kg,,23*15*7 (cm),,Y,208.9,Whatsapp,6358838946,Simran,,"29Q, Alok appt
Radio Mirchi road lane 
Jivraj park 380015
Ahmedabad",380015,"9AM to 8PM

7 days open
No pickup on Sunday
(Sunday Half day)

",Weekly,"Current discount: 10%
After giving packaging boxes: 15%"
41,Tikha Chavana ,,,,,,,,,0.20 kg,Y(Rs. 45 / 200g),12%,,0.20 kg,,,,Y,170.8,,,,,,,,,
42,Hing papadi mix ,,,,,,,,,0.20 kg,Y(Rs. 45 / 200g),12%,,0.20 kg,,,,Y,170.8,,,,,,,,,
43,Sakkarpara ,,,,,,,,,0.40 kg,Y(Rs. 90 / 400g),5%,,0.40 kg,,,,Y,182.1,,,,,,,,,
44,Fulwadi ,,,,,,,,,0.20 kg,Y(Rs. 45 / 200g),12%,,0.20 kg,,,,Y,170.8,,,,,,,,,
45,Masala chakri ,,,,,,,,,0.10 kg,Y(Rs. 40 / 100g),12%,,0.10 kg,,,,Y,303.6,,,,,,,,,
46,Dry fruit Kachori ,,,,,,,,,0.40 kg,Y(Rs. 150 / 400g),12%,,0.40 kg,,,,Y,284.6,,,,,,,,,
47,Khasta Gajak,,,"Rajasthan
(Jaipur)",Sahu Gajak Bhandar,,"Ramavtar
7728919809",08BHPPS4313B1ZD,12219038000139,0.40 kg,Y (Rs. 400),5%,,0.40 kg,,19*14*9 (cm),,No,571.4,Whatsapp,8875463405,Kailash Sahu,info@sahugajak.com,"63/10, Rajai Path, Maday Marg, Mansarovar, Jaipur, Rajasthan - 302020",302020,"7 days open.
Pickup hrs: Anytime",Weekly,40% discount on MRP (on amazon)
48,Peanut Chikki,,,,,,,,,0.50 kg,Y (Rs. 400),5%,,0.50 kg,,,,No,,,,,,,,,,
48,Gur ki Rewadi,,,,,,,,,0.40 kg,Y (Rs. 400),5%,,0.40 kg,,,,No,585.7,,,,,,,,,
49,Gajak Roll,,,,,,,,,0.35 kg,Y (Rs. 400),5%,,0.35 kg,,,,No,653.1,,,,,,,,,
50,Masala Khakra,,,"Gujarat
(Surat)",Bhavna Gruh Udyog,,"Nikesh
9722109832",24BORPM8506F2ZO,20719031006849,0.20 Kg,Y (Rs. 95),5%,,0.20 Kg,,20*20*5 (cm),,Y,151.5,Whatsapp,9722109832,Nikesh,,"Shop No 1, Mavani Point, beside Bhakti group, near Chokshi Wadi Adajan, Surat, Gujarat - 395009",395009,"Sunday closed
Shop timings: 11AM to 8PM",Immediately after pickup,5% discount on Rate (not on MRP) in PDF
51,Methi Khakra,,,,,,,,,0.20 Kg,Y (Rs. 95),5%,,0.20 Kg,,20*20*5 (cm),,Y,151.5,,,,,,,,,
52,Pizza Khakra,,,,,,,,,0.20 Kg,Y (Rs. 95),5%,,0.20 Kg,,20*20*5 (cm),,Y,182.9,,,,,,,,,
53,Dhaniya Mirchi Bhakri,,,,,,,,,0.20 Kg,Y (Rs. 90),5%,,0.20 Kg,,14*14*11 (cm),,Y,185.5,,,,,,,,,
54,Masala Bhakri,,,,,,,,,0.20 Kg,Y (Rs. 90),5%,,0.20 Kg,,14*14*11 (cm),,Y,185.5,,,,,,,,,
55,Sutarfeni ,,,"Gujarat
(Surat)",Shah Motiram Sweets,,"Himanshu
9825259964",24AIEPS5715L1ZZ,,0.25 Kg,N,5%,,0.25 Kg,,,,No,,Whatsapp,9825259964,Himanshu,,"C/o., 9/2046,  Opp. Khandwala Street, Ambaji Road, Bhagal Char Rasta, Surat, 395003",395003,Sunday Half day,"Initially after pickup, then weekly",Will increase discount if good number of orders
56,Kesar Pista Ghari,,,,,,,,,0.40 Kg,N,5%,,0.40 Kg,,,,No,,,,,,,,,,
57,Mohanthal ,,,,,,,,,0.40 Kg,N,5%,,0.40 Kg,,,,No,,,,,,,,,,
58,Magaj ,,,,,,,,,0.40 Kg,N,5%,,0.40 Kg,,,,No,,,,,,,,,,
59,Surti khaja,,,,,,,,,0.50 Kg,N,5%,,0.50 Kg,,,,No,,,,,,,,,,
60,Maganlal Chikki,,,Maharashtra,Maganlal Chikki,,Anant 7620276649,,,0.40 Kg ,N,5%,,0.40 Kg,,,,No,,Whatsapp,96202 76649,Anant,maganlal_sons@yahoo.co.in,"M.g. Road, Opposite Railway Station, Lonavala, 410401, Pune Dist.",410401,,After pickup upfront,Will increase discount if good number of orders
